,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Napoli,1,62,23,20,2,1,56,15,41,1,31,11,10,1,0,31,8,23,1,31,12,10,1,1,25,7,18
Inter Milan,2,47,23,15,2,6,44,27,17,2,30,12,10,0,2,25,6,19,7,17,11,5,2,4,19,21,-2
AC Milan,3,44,23,13,5,5,39,30,9,4,25,11,8,1,2,25,16,9,4,19,12,5,4,3,14,14,0
Atalanta,4,41,22,12,5,5,41,24,17,8,17,10,5,2,3,21,13,8,2,24,12,7,3,2,20,11,9
Roma,5,41,22,12,5,5,29,19,10,6,19,10,6,1,3,12,5,7,3,22,12,6,4,2,17,14,3
Lazio,6,39,22,11,6,5,37,19,18,5,21,12,6,3,3,21,12,9,5,18,10,5,3,2,16,7,9
Bologna,7,32,23,9,5,9,30,33,-3,7,19,12,5,4,3,16,10,6,11,13,11,4,1,6,14,23,-9
Torino,8,30,22,8,6,8,22,23,-1,10,15,10,4,3,3,8,6,2,9,15,12,4,3,5,14,17,-3
Udinese,9,30,23,7,9,7,31,28,3,11,15,11,3,6,2,17,12,5,8,15,12,4,3,5,14,16,-2
Juventus,10,29,22,13,5,4,34,17,17,3,27,12,8,3,1,25,8,17,6,17,10,5,2,3,9,9,0
Monza,11,29,23,8,5,10,28,31,-3,13,15,12,4,3,5,16,14,2,10,14,11,4,2,5,12,17,-5
Empoli,12,27,22,6,9,7,21,28,-7,9,16,11,4,4,3,12,12,0,13,11,11,2,5,4,9,16,-7
Lecce,13,24,22,5,9,8,22,25,-3,16,12,11,2,6,3,13,14,-1,12,12,11,3,3,5,9,11,-2
Fiorentina,14,24,22,6,6,10,23,29,-6,12,15,11,4,3,4,15,17,-2,15,9,11,2,3,6,8,12,-4
Sassuolo,15,24,23,6,6,11,26,35,-9,14,14,11,4,2,5,13,13,0,14,10,12,2,4,6,13,22,-9
Salernitana,16,21,22,5,6,11,25,42,-17,17,12,11,3,3,5,14,16,-2,16,9,11,2,3,6,11,26,-15
Spezia,17,19,22,4,7,11,19,37,-18,18,12,11,2,6,3,13,17,-4,18,7,11,2,1,8,6,20,-14
Verona,18,17,22,4,5,13,20,33,-13,15,13,12,4,1,7,14,18,-4,20,4,10,0,4,6,6,15,-9
Sampdoria,19,11,23,2,5,16,11,38,-27,20,3,12,0,3,9,3,18,-15,17,8,11,2,2,7,8,20,-12
Cremonese,20,8,22,0,8,14,15,40,-25,19,3,11,0,3,8,5,19,-14,19,5,11,0,5,6,10,21,-11
